"","Wavelength","Lens","OD"
"1",190,"Pi18",7
"2",190,"Pi3",7
"3",190,"Pi4",4
"4",190,"Pi5",5
"5",191,"Pi18",7
"6",191,"Pi3",7
"7",191,"Pi4",4
"8",191,"Pi5",5
"9",192,"Pi18",7
"10",192,"Pi3",7
"11",192,"Pi4",4
"12",192,"Pi5",5
"13",193,"Pi18",7
"14",193,"Pi3",7
"15",193,"Pi4",4
"16",193,"Pi5",5
"17",194,"Pi18",7
"18",194,"Pi3",7
"19",194,"Pi4",4
"20",194,"Pi5",5
"21",195,"Pi18",7
"22",195,"Pi3",7
"23",195,"Pi4",4
"24",195,"Pi5",5
"25",196,"Pi18",7
"26",196,"Pi3",7
"27",196,"Pi4",4
"28",196,"Pi5",5
"29",197,"Pi18",7
"30",197,"Pi3",7
"31",197,"Pi4",4
"32",197,"Pi5",5
"33",198,"Pi18",7
"34",198,"Pi3",7
"35",198,"Pi4",4
"36",198,"Pi5",5
"37",199,"Pi18",7
"38",199,"Pi3",7
"39",199,"Pi4",4
"40",199,"Pi5",5
"41",200,"Pi16",4
"42",200,"Pi17",5
"43",200,"Pi18",7
"44",200,"Pi3",7
"45",200,"Pi4",4
"46",200,"Pi5",5
"47",201,"Pi16",4
"48",201,"Pi17",5
"49",201,"Pi18",7
"50",201,"Pi3",7
"51",201,"Pi4",4
"52",201,"Pi5",5
"53",202,"Pi16",4
"54",202,"Pi17",5
"55",202,"Pi18",7
"56",202,"Pi3",7
"57",202,"Pi4",4
"58",202,"Pi5",5
"59",203,"Pi16",4
"60",203,"Pi17",5
"61",203,"Pi18",7
"62",203,"Pi3",7
"63",203,"Pi4",4
"64",203,"Pi5",5
"65",204,"Pi16",4
"66",204,"Pi17",5
"67",204,"Pi18",7
"68",204,"Pi3",7
"69",204,"Pi4",4
"70",204,"Pi5",5
"71",205,"Pi16",4
"72",205,"Pi17",5
"73",205,"Pi18",7
"74",205,"Pi3",7
"75",205,"Pi4",4
"76",205,"Pi5",5
"77",206,"Pi16",4
"78",206,"Pi17",5
"79",206,"Pi18",7
"80",206,"Pi3",7
"81",206,"Pi4",4
"82",206,"Pi5",5
"83",207,"Pi16",4
"84",207,"Pi17",5
"85",207,"Pi18",7
"86",207,"Pi3",7
"87",207,"Pi4",4
"88",207,"Pi5",5
"89",208,"Pi16",4
"90",208,"Pi17",5
"91",208,"Pi18",7
"92",208,"Pi3",7
"93",208,"Pi4",4
"94",208,"Pi5",5
"95",209,"Pi16",4
"96",209,"Pi17",5
"97",209,"Pi18",7
"98",209,"Pi3",7
"99",209,"Pi4",4
"100",209,"Pi5",5
"101",210,"Pi16",4
"102",210,"Pi17",5
"103",210,"Pi18",7
"104",210,"Pi3",7
"105",210,"Pi4",4
"106",210,"Pi5",5
"107",211,"Pi16",4
"108",211,"Pi17",5
"109",211,"Pi18",7
"110",211,"Pi3",7
"111",211,"Pi4",4
"112",211,"Pi5",5
"113",212,"Pi16",4
"114",212,"Pi17",5
"115",212,"Pi18",7
"116",212,"Pi3",7
"117",212,"Pi4",4
"118",212,"Pi5",5
"119",213,"Pi16",4
"120",213,"Pi17",5
"121",213,"Pi18",7
"122",213,"Pi3",7
"123",213,"Pi4",4
"124",213,"Pi5",5
"125",214,"Pi16",4
"126",214,"Pi17",5
"127",214,"Pi18",7
"128",214,"Pi3",7
"129",214,"Pi4",4
"130",214,"Pi5",5
"131",215,"Pi16",4
"132",215,"Pi17",5
"133",215,"Pi18",7
"134",215,"Pi3",7
"135",215,"Pi4",4
"136",215,"Pi5",5
"137",216,"Pi16",4
"138",216,"Pi17",5
"139",216,"Pi18",7
"140",216,"Pi3",7
"141",216,"Pi4",4
"142",216,"Pi5",5
"143",217,"Pi16",4
"144",217,"Pi17",5
"145",217,"Pi18",7
"146",217,"Pi3",7
"147",217,"Pi4",4
"148",217,"Pi5",5
"149",218,"Pi16",4
"150",218,"Pi17",5
"151",218,"Pi18",7
"152",218,"Pi3",7
"153",218,"Pi4",4
"154",218,"Pi5",5
"155",219,"Pi16",4
"156",219,"Pi17",5
"157",219,"Pi18",7
"158",219,"Pi3",7
"159",219,"Pi4",4
"160",219,"Pi5",5
"161",220,"Pi16",4
"162",220,"Pi17",5
"163",220,"Pi18",7
"164",220,"Pi3",7
"165",220,"Pi4",4
"166",220,"Pi5",5
"167",221,"Pi16",4
"168",221,"Pi17",5
"169",221,"Pi18",7
"170",221,"Pi3",7
"171",221,"Pi4",4
"172",221,"Pi5",5
"173",222,"Pi16",4
"174",222,"Pi17",5
"175",222,"Pi18",7
"176",222,"Pi3",7
"177",222,"Pi4",4
"178",222,"Pi5",5
"179",223,"Pi16",4
"180",223,"Pi17",5
"181",223,"Pi18",7
"182",223,"Pi3",7
"183",223,"Pi4",4
"184",223,"Pi5",5
"185",224,"Pi16",4
"186",224,"Pi17",5
"187",224,"Pi18",7
"188",224,"Pi3",7
"189",224,"Pi4",4
"190",224,"Pi5",5
"191",225,"Pi16",4
"192",225,"Pi17",5
"193",225,"Pi18",7
"194",225,"Pi3",7
"195",225,"Pi4",4
"196",225,"Pi5",5
"197",226,"Pi16",4
"198",226,"Pi17",5
"199",226,"Pi18",7
"200",226,"Pi3",7
"201",226,"Pi4",4
"202",226,"Pi5",5
"203",227,"Pi16",4
"204",227,"Pi17",5
"205",227,"Pi18",7
"206",227,"Pi3",7
"207",227,"Pi4",4
"208",227,"Pi5",5
"209",228,"Pi16",4
"210",228,"Pi17",5
"211",228,"Pi18",7
"212",228,"Pi3",7
"213",228,"Pi4",4
"214",228,"Pi5",5
"215",229,"Pi16",4
"216",229,"Pi17",5
"217",229,"Pi18",7
"218",229,"Pi3",7
"219",229,"Pi4",4
"220",229,"Pi5",5
"221",230,"Pi16",4
"222",230,"Pi17",5
"223",230,"Pi18",7
"224",230,"Pi3",7
"225",230,"Pi4",4
"226",230,"Pi5",5
"227",231,"Pi16",4
"228",231,"Pi17",5
"229",231,"Pi18",7
"230",231,"Pi3",7
"231",231,"Pi4",4
"232",231,"Pi5",5
"233",232,"Pi16",4
"234",232,"Pi17",5
"235",232,"Pi18",7
"236",232,"Pi3",7
"237",232,"Pi4",4
"238",232,"Pi5",5
"239",233,"Pi16",4
"240",233,"Pi17",5
"241",233,"Pi18",7
"242",233,"Pi3",7
"243",233,"Pi4",4
"244",233,"Pi5",5
"245",234,"Pi16",4
"246",234,"Pi17",5
"247",234,"Pi18",7
"248",234,"Pi3",7
"249",234,"Pi4",4
"250",234,"Pi5",5
"251",235,"Pi16",4
"252",235,"Pi17",5
"253",235,"Pi18",7
"254",235,"Pi3",7
"255",235,"Pi4",4
"256",235,"Pi5",5
"257",236,"Pi16",4
"258",236,"Pi17",5
"259",236,"Pi18",7
"260",236,"Pi3",7
"261",236,"Pi4",4
"262",236,"Pi5",5
"263",237,"Pi16",4
"264",237,"Pi17",5
"265",237,"Pi18",7
"266",237,"Pi3",7
"267",237,"Pi4",4
"268",237,"Pi5",5
"269",238,"Pi16",4
"270",238,"Pi17",5
"271",238,"Pi18",7
"272",238,"Pi3",7
"273",238,"Pi4",4
"274",238,"Pi5",5
"275",239,"Pi16",4
"276",239,"Pi17",5
"277",239,"Pi18",7
"278",239,"Pi3",7
"279",239,"Pi4",4
"280",239,"Pi5",5
"281",240,"Pi16",4
"282",240,"Pi17",5
"283",240,"Pi18",7
"284",240,"Pi3",7
"285",240,"Pi4",4
"286",240,"Pi5",5
"287",241,"Pi16",4
"288",241,"Pi17",5
"289",241,"Pi18",7
"290",241,"Pi3",7
"291",241,"Pi4",4
"292",241,"Pi5",5
"293",242,"Pi16",4
"294",242,"Pi17",5
"295",242,"Pi18",7
"296",242,"Pi3",7
"297",242,"Pi4",4
"298",242,"Pi5",5
"299",243,"Pi16",4
"300",243,"Pi17",5
"301",243,"Pi18",7
"302",243,"Pi3",7
"303",243,"Pi4",4
"304",243,"Pi5",5
"305",244,"Pi16",4
"306",244,"Pi17",5
"307",244,"Pi18",7
"308",244,"Pi3",7
"309",244,"Pi4",4
"310",244,"Pi5",5
"311",245,"Pi16",4
"312",245,"Pi17",5
"313",245,"Pi18",7
"314",245,"Pi3",7
"315",245,"Pi4",4
"316",245,"Pi5",5
"317",246,"Pi16",4
"318",246,"Pi17",5
"319",246,"Pi18",7
"320",246,"Pi3",7
"321",246,"Pi4",4
"322",246,"Pi5",5
"323",247,"Pi16",4
"324",247,"Pi17",5
"325",247,"Pi18",7
"326",247,"Pi3",7
"327",247,"Pi4",4
"328",247,"Pi5",5
"329",248,"Pi16",4
"330",248,"Pi17",5
"331",248,"Pi18",7
"332",248,"Pi3",7
"333",248,"Pi4",4
"334",248,"Pi5",5
"335",249,"Pi16",4
"336",249,"Pi17",5
"337",249,"Pi18",7
"338",249,"Pi3",7
"339",249,"Pi4",4
"340",249,"Pi5",5
"341",250,"Pi16",4
"342",250,"Pi17",5
"343",250,"Pi18",7
"344",250,"Pi3",7
"345",250,"Pi4",4
"346",250,"Pi5",5
"347",251,"Pi16",4
"348",251,"Pi17",5
"349",251,"Pi18",7
"350",251,"Pi3",7
"351",251,"Pi4",4
"352",251,"Pi5",5
"353",252,"Pi16",4
"354",252,"Pi17",5
"355",252,"Pi18",7
"356",252,"Pi3",7
"357",252,"Pi4",4
"358",252,"Pi5",5
"359",253,"Pi16",4
"360",253,"Pi17",5
"361",253,"Pi18",7
"362",253,"Pi3",7
"363",253,"Pi4",4
"364",253,"Pi5",5
"365",254,"Pi16",4
"366",254,"Pi17",5
"367",254,"Pi18",7
"368",254,"Pi3",7
"369",254,"Pi4",4
"370",254,"Pi5",5
"371",255,"Pi16",4
"372",255,"Pi17",5
"373",255,"Pi18",7
"374",255,"Pi3",7
"375",255,"Pi4",4
"376",255,"Pi5",5
"377",256,"Pi16",4
"378",256,"Pi17",5
"379",256,"Pi18",7
"380",256,"Pi3",7
"381",256,"Pi4",4
"382",256,"Pi5",5
"383",257,"Pi16",4
"384",257,"Pi17",5
"385",257,"Pi18",7
"386",257,"Pi3",7
"387",257,"Pi4",4
"388",257,"Pi5",5
"389",258,"Pi16",4
"390",258,"Pi17",5
"391",258,"Pi18",7
"392",258,"Pi3",7
"393",258,"Pi4",4
"394",258,"Pi5",5
"395",259,"Pi16",4
"396",259,"Pi17",5
"397",259,"Pi18",7
"398",259,"Pi3",7
"399",259,"Pi4",4
"400",259,"Pi5",5
"401",260,"Pi16",4
"402",260,"Pi17",5
"403",260,"Pi18",7
"404",260,"Pi3",7
"405",260,"Pi4",4
"406",260,"Pi5",5
"407",261,"Pi16",4
"408",261,"Pi17",5
"409",261,"Pi18",7
"410",261,"Pi3",7
"411",261,"Pi4",4
"412",261,"Pi5",5
"413",262,"Pi16",4
"414",262,"Pi17",5
"415",262,"Pi18",7
"416",262,"Pi3",7
"417",262,"Pi4",4
"418",262,"Pi5",5
"419",263,"Pi16",4
"420",263,"Pi17",5
"421",263,"Pi18",7
"422",263,"Pi3",7
"423",263,"Pi4",4
"424",263,"Pi5",5
"425",264,"Pi16",4
"426",264,"Pi17",5
"427",264,"Pi18",7
"428",264,"Pi3",7
"429",264,"Pi4",4
"430",264,"Pi5",5
"431",265,"Pi16",4
"432",265,"Pi17",5
"433",265,"Pi18",7
"434",265,"Pi3",7
"435",265,"Pi4",4
"436",265,"Pi5",5
"437",266,"Pi16",4
"438",266,"Pi17",5
"439",266,"Pi18",7
"440",266,"Pi3",7
"441",266,"Pi4",4
"442",266,"Pi5",5
"443",267,"Pi16",4
"444",267,"Pi17",5
"445",267,"Pi18",7
"446",267,"Pi3",7
"447",267,"Pi4",4
"448",267,"Pi5",5
"449",268,"Pi16",4
"450",268,"Pi17",5
"451",268,"Pi18",7
"452",268,"Pi3",7
"453",268,"Pi4",4
"454",268,"Pi5",5
"455",269,"Pi16",4
"456",269,"Pi17",5
"457",269,"Pi18",7
"458",269,"Pi3",7
"459",269,"Pi4",4
"460",269,"Pi5",5
"461",270,"Pi16",4
"462",270,"Pi17",5
"463",270,"Pi18",7
"464",270,"Pi3",7
"465",270,"Pi4",4
"466",270,"Pi5",5
"467",271,"Pi16",4
"468",271,"Pi17",5
"469",271,"Pi18",7
"470",271,"Pi3",7
"471",271,"Pi4",4
"472",271,"Pi5",5
"473",272,"Pi16",4
"474",272,"Pi17",5
"475",272,"Pi18",7
"476",272,"Pi3",7
"477",272,"Pi4",4
"478",272,"Pi5",5
"479",273,"Pi16",4
"480",273,"Pi17",5
"481",273,"Pi18",7
"482",273,"Pi3",7
"483",273,"Pi4",4
"484",273,"Pi5",5
"485",274,"Pi16",4
"486",274,"Pi17",5
"487",274,"Pi18",7
"488",274,"Pi3",7
"489",274,"Pi4",4
"490",274,"Pi5",5
"491",275,"Pi16",4
"492",275,"Pi17",5
"493",275,"Pi18",7
"494",275,"Pi3",7
"495",275,"Pi4",4
"496",275,"Pi5",5
"497",276,"Pi16",4
"498",276,"Pi17",5
"499",276,"Pi18",7
"500",276,"Pi3",7
"501",276,"Pi4",4
"502",276,"Pi5",5
"503",277,"Pi16",4
"504",277,"Pi17",5
"505",277,"Pi18",7
"506",277,"Pi3",7
"507",277,"Pi4",4
"508",277,"Pi5",5
"509",278,"Pi16",4
"510",278,"Pi17",5
"511",278,"Pi18",7
"512",278,"Pi3",7
"513",278,"Pi4",4
"514",278,"Pi5",5
"515",279,"Pi16",4
"516",279,"Pi17",5
"517",279,"Pi18",7
"518",279,"Pi3",7
"519",279,"Pi4",4
"520",279,"Pi5",5
"521",280,"Pi16",4
"522",280,"Pi17",5
"523",280,"Pi18",7
"524",280,"Pi3",7
"525",280,"Pi4",4
"526",280,"Pi5",5
"527",281,"Pi16",4
"528",281,"Pi17",5
"529",281,"Pi18",7
"530",281,"Pi3",7
"531",281,"Pi4",4
"532",281,"Pi5",5
"533",282,"Pi16",4
"534",282,"Pi17",5
"535",282,"Pi18",7
"536",282,"Pi3",7
"537",282,"Pi4",4
"538",282,"Pi5",5
"539",283,"Pi16",4
"540",283,"Pi17",5
"541",283,"Pi18",7
"542",283,"Pi3",7
"543",283,"Pi4",4
"544",283,"Pi5",5
"545",284,"Pi16",4
"546",284,"Pi17",5
"547",284,"Pi18",7
"548",284,"Pi3",7
"549",284,"Pi4",4
"550",284,"Pi5",5
"551",285,"Pi16",4
"552",285,"Pi17",5
"553",285,"Pi18",7
"554",285,"Pi3",7
"555",285,"Pi4",4
"556",285,"Pi5",5
"557",286,"Pi16",4
"558",286,"Pi17",5
"559",286,"Pi18",7
"560",286,"Pi3",7
"561",286,"Pi4",4
"562",286,"Pi5",5
"563",287,"Pi16",4
"564",287,"Pi17",5
"565",287,"Pi18",7
"566",287,"Pi3",7
"567",287,"Pi4",4
"568",287,"Pi5",5
"569",288,"Pi16",4
"570",288,"Pi17",5
"571",288,"Pi18",7
"572",288,"Pi3",7
"573",288,"Pi4",4
"574",288,"Pi5",5
"575",289,"Pi16",4
"576",289,"Pi17",5
"577",289,"Pi18",7
"578",289,"Pi3",7
"579",289,"Pi4",4
"580",289,"Pi5",5
"581",290,"Pi16",4
"582",290,"Pi17",5
"583",290,"Pi18",7
"584",290,"Pi3",7
"585",290,"Pi4",4
"586",290,"Pi5",5
"587",291,"Pi16",4
"588",291,"Pi17",5
"589",291,"Pi18",7
"590",291,"Pi3",7
"591",291,"Pi4",4
"592",291,"Pi5",5
"593",292,"Pi16",4
"594",292,"Pi17",5
"595",292,"Pi18",7
"596",292,"Pi3",7
"597",292,"Pi4",4
"598",292,"Pi5",5
"599",293,"Pi16",4
"600",293,"Pi17",5
"601",293,"Pi18",7
"602",293,"Pi3",7
"603",293,"Pi4",4
"604",293,"Pi5",5
"605",294,"Pi16",4
"606",294,"Pi17",5
"607",294,"Pi18",7
"608",294,"Pi3",7
"609",294,"Pi4",4
"610",294,"Pi5",5
"611",295,"Pi16",4
"612",295,"Pi17",5
"613",295,"Pi18",7
"614",295,"Pi3",7
"615",295,"Pi4",4
"616",295,"Pi5",5
"617",296,"Pi16",4
"618",296,"Pi17",5
"619",296,"Pi18",7
"620",296,"Pi3",7
"621",296,"Pi4",4
"622",296,"Pi5",5
"623",297,"Pi16",4
"624",297,"Pi17",5
"625",297,"Pi18",7
"626",297,"Pi3",7
"627",297,"Pi4",4
"628",297,"Pi5",5
"629",298,"Pi16",4
"630",298,"Pi17",5
"631",298,"Pi18",7
"632",298,"Pi3",7
"633",298,"Pi4",4
"634",298,"Pi5",5
"635",299,"Pi16",4
"636",299,"Pi17",5
"637",299,"Pi18",7
"638",299,"Pi3",7
"639",299,"Pi4",4
"640",299,"Pi5",5
"641",300,"Pi14",1
"642",300,"Pi15",1.5
"643",300,"Pi16",4
"644",300,"Pi17",5
"645",300,"Pi18",7
"646",300,"Pi3",7
"647",300,"Pi4",4
"648",300,"Pi5",5
"649",301,"Pi14",1
"650",301,"Pi15",1.5
"651",301,"Pi16",4
"652",301,"Pi17",5
"653",301,"Pi18",7
"654",301,"Pi3",7
"655",301,"Pi4",4
"656",301,"Pi5",5
"657",302,"Pi14",1
"658",302,"Pi15",1.5
"659",302,"Pi16",4
"660",302,"Pi17",5
"661",302,"Pi18",7
"662",302,"Pi3",7
"663",302,"Pi4",4
"664",302,"Pi5",5
"665",303,"Pi14",1
"666",303,"Pi15",1.5
"667",303,"Pi16",4
"668",303,"Pi17",5
"669",303,"Pi18",7
"670",303,"Pi3",7
"671",303,"Pi4",4
"672",303,"Pi5",5
"673",304,"Pi14",1
"674",304,"Pi15",1.5
"675",304,"Pi16",4
"676",304,"Pi17",5
"677",304,"Pi18",7
"678",304,"Pi3",7
"679",304,"Pi4",4
"680",304,"Pi5",5
"681",305,"Pi14",1
"682",305,"Pi15",1.5
"683",305,"Pi16",4
"684",305,"Pi17",5
"685",305,"Pi18",7
"686",305,"Pi3",7
"687",305,"Pi4",4
"688",305,"Pi5",5
"689",306,"Pi14",1
"690",306,"Pi15",1.5
"691",306,"Pi16",4
"692",306,"Pi17",5
"693",306,"Pi18",7
"694",306,"Pi3",7
"695",306,"Pi4",4
"696",306,"Pi5",5
"697",307,"Pi14",1
"698",307,"Pi15",1.5
"699",307,"Pi16",4
"700",307,"Pi17",5
"701",307,"Pi18",7
"702",307,"Pi3",7
"703",307,"Pi4",4
"704",307,"Pi5",5
"705",308,"Pi14",1
"706",308,"Pi15",1.5
"707",308,"Pi16",4
"708",308,"Pi17",5
"709",308,"Pi18",7
"710",308,"Pi3",7
"711",308,"Pi4",4
"712",308,"Pi5",5
"713",309,"Pi14",1
"714",309,"Pi15",1.5
"715",309,"Pi16",4
"716",309,"Pi17",5
"717",309,"Pi18",7
"718",309,"Pi3",7
"719",309,"Pi4",4
"720",309,"Pi5",5
"721",310,"Pi14",1
"722",310,"Pi15",1.5
"723",310,"Pi16",4
"724",310,"Pi17",5
"725",310,"Pi18",7
"726",310,"Pi3",7
"727",310,"Pi4",4
"728",310,"Pi5",5
"729",311,"Pi14",1
"730",311,"Pi15",1.5
"731",311,"Pi16",4
"732",311,"Pi17",5
"733",311,"Pi18",7
"734",311,"Pi3",7
"735",311,"Pi4",4
"736",311,"Pi5",5
"737",312,"Pi14",1
"738",312,"Pi15",1.5
"739",312,"Pi16",4
"740",312,"Pi17",5
"741",312,"Pi18",7
"742",312,"Pi3",7
"743",312,"Pi4",4
"744",312,"Pi5",5
"745",313,"Pi14",1
"746",313,"Pi15",1.5
"747",313,"Pi16",4
"748",313,"Pi17",5
"749",313,"Pi18",7
"750",313,"Pi3",7
"751",313,"Pi4",4
"752",313,"Pi5",5
"753",314,"Pi14",1
"754",314,"Pi15",1.5
"755",314,"Pi16",4
"756",314,"Pi17",5
"757",314,"Pi18",7
"758",314,"Pi3",7
"759",314,"Pi4",4
"760",314,"Pi5",5
"761",315,"Pi14",1
"762",315,"Pi15",1.5
"763",315,"Pi16",4
"764",315,"Pi17",5
"765",315,"Pi18",7
"766",315,"Pi3",7
"767",315,"Pi4",4
"768",315,"Pi5",5
"769",316,"Pi14",1
"770",316,"Pi15",1.5
"771",316,"Pi16",4
"772",316,"Pi17",5
"773",316,"Pi18",7
"774",316,"Pi3",7
"775",316,"Pi4",4
"776",316,"Pi5",5
"777",317,"Pi14",1
"778",317,"Pi15",1.5
"779",317,"Pi16",4
"780",317,"Pi17",5
"781",317,"Pi18",7
"782",317,"Pi3",7
"783",317,"Pi4",4
"784",317,"Pi5",5
"785",318,"Pi14",1
"786",318,"Pi15",1.5
"787",318,"Pi16",4
"788",318,"Pi17",5
"789",318,"Pi18",7
"790",318,"Pi3",7
"791",318,"Pi4",4
"792",318,"Pi5",5
"793",319,"Pi14",1
"794",319,"Pi15",1.5
"795",319,"Pi16",4
"796",319,"Pi17",5
"797",319,"Pi18",7
"798",319,"Pi3",7
"799",319,"Pi4",4
"800",319,"Pi5",5
"801",320,"Pi14",1
"802",320,"Pi15",1.5
"803",320,"Pi16",4
"804",320,"Pi17",5
"805",320,"Pi18",7
"806",320,"Pi3",7
"807",320,"Pi4",4
"808",320,"Pi5",5
"809",321,"Pi14",1
"810",321,"Pi15",1.5
"811",321,"Pi16",4
"812",321,"Pi17",5
"813",321,"Pi18",7
"814",321,"Pi3",7
"815",321,"Pi4",4
"816",321,"Pi5",5
"817",322,"Pi14",1
"818",322,"Pi15",1.5
"819",322,"Pi16",4
"820",322,"Pi17",5
"821",322,"Pi18",7
"822",322,"Pi3",7
"823",322,"Pi4",4
"824",322,"Pi5",5
"825",323,"Pi14",1
"826",323,"Pi15",1.5
"827",323,"Pi16",4
"828",323,"Pi17",5
"829",323,"Pi18",7
"830",323,"Pi3",7
"831",323,"Pi4",4
"832",323,"Pi5",5
"833",324,"Pi14",1
"834",324,"Pi15",1.5
"835",324,"Pi16",4
"836",324,"Pi17",5
"837",324,"Pi18",7
"838",324,"Pi3",7
"839",324,"Pi4",4
"840",324,"Pi5",5
"841",325,"Pi14",1
"842",325,"Pi15",1.5
"843",325,"Pi16",4
"844",325,"Pi17",5
"845",325,"Pi18",7
"846",325,"Pi3",7
"847",325,"Pi4",4
"848",325,"Pi5",5
"849",326,"Pi14",1
"850",326,"Pi15",1.5
"851",326,"Pi16",4
"852",326,"Pi17",5
"853",326,"Pi18",7
"854",326,"Pi3",7
"855",326,"Pi4",4
"856",326,"Pi5",5
"857",327,"Pi14",1
"858",327,"Pi15",1.5
"859",327,"Pi16",4
"860",327,"Pi17",5
"861",327,"Pi18",7
"862",327,"Pi3",7
"863",327,"Pi4",4
"864",327,"Pi5",5
"865",328,"Pi14",1
"866",328,"Pi15",1.5
"867",328,"Pi16",4
"868",328,"Pi17",5
"869",328,"Pi18",7
"870",328,"Pi3",7
"871",328,"Pi4",4
"872",328,"Pi5",5
"873",329,"Pi14",1
"874",329,"Pi15",1.5
"875",329,"Pi16",4
"876",329,"Pi17",5
"877",329,"Pi18",7
"878",329,"Pi3",7
"879",329,"Pi4",4
"880",329,"Pi5",5
"881",330,"Pi14",1
"882",330,"Pi15",1.5
"883",330,"Pi16",4
"884",330,"Pi17",5
"885",330,"Pi18",7
"886",330,"Pi3",7
"887",330,"Pi4",4
"888",330,"Pi5",5
"889",331,"Pi14",1
"890",331,"Pi15",1.5
"891",331,"Pi16",4
"892",331,"Pi17",5
"893",331,"Pi18",7
"894",331,"Pi3",7
"895",331,"Pi4",4
"896",331,"Pi5",5
"897",332,"Pi14",1
"898",332,"Pi15",1.5
"899",332,"Pi16",4
"900",332,"Pi17",5
"901",332,"Pi18",7
"902",332,"Pi3",7
"903",332,"Pi4",4
"904",332,"Pi5",5
"905",333,"Pi14",1
"906",333,"Pi15",1.5
"907",333,"Pi16",4
"908",333,"Pi17",5
"909",333,"Pi18",7
"910",333,"Pi3",7
"911",333,"Pi4",4
"912",333,"Pi5",5
"913",334,"Pi14",1
"914",334,"Pi15",1.5
"915",334,"Pi16",4
"916",334,"Pi17",5
"917",334,"Pi18",7
"918",334,"Pi3",7
"919",334,"Pi4",4
"920",334,"Pi5",5
"921",335,"Pi14",1
"922",335,"Pi15",1.5
"923",335,"Pi16",4
"924",335,"Pi17",5
"925",335,"Pi18",7
"926",335,"Pi3",7
"927",335,"Pi4",4
"928",335,"Pi5",5
"929",336,"Pi14",1
"930",336,"Pi15",1.5
"931",336,"Pi16",4
"932",336,"Pi17",5
"933",336,"Pi18",7
"934",336,"Pi3",7
"935",336,"Pi4",4
"936",336,"Pi5",5
"937",337,"Pi14",1
"938",337,"Pi15",1.5
"939",337,"Pi16",4
"940",337,"Pi17",5
"941",337,"Pi18",7
"942",337,"Pi3",7
"943",337,"Pi4",4
"944",337,"Pi5",5
"945",338,"Pi14",1
"946",338,"Pi15",1.5
"947",338,"Pi16",4
"948",338,"Pi17",5
"949",338,"Pi18",7
"950",338,"Pi3",7
"951",338,"Pi4",4
"952",338,"Pi5",5
"953",339,"Pi14",1
"954",339,"Pi15",1.5
"955",339,"Pi16",4
"956",339,"Pi17",5
"957",339,"Pi18",7
"958",339,"Pi3",7
"959",339,"Pi4",4
"960",339,"Pi5",5
"961",340,"Pi14",1
"962",340,"Pi15",1.5
"963",340,"Pi16",4
"964",340,"Pi17",5
"965",340,"Pi18",7
"966",340,"Pi3",7
"967",340,"Pi4",4
"968",340,"Pi5",5
"969",341,"Pi14",1
"970",341,"Pi15",1.5
"971",341,"Pi16",4
"972",341,"Pi17",5
"973",341,"Pi18",7
"974",341,"Pi3",7
"975",341,"Pi4",4
"976",341,"Pi5",5
"977",342,"Pi14",1
"978",342,"Pi15",1.5
"979",342,"Pi16",4
"980",342,"Pi17",5
"981",342,"Pi18",7
"982",342,"Pi3",7
"983",342,"Pi4",4
"984",342,"Pi5",5
"985",343,"Pi14",1
"986",343,"Pi15",1.5
"987",343,"Pi16",4
"988",343,"Pi17",5
"989",343,"Pi18",7
"990",343,"Pi3",7
"991",343,"Pi4",4
"992",343,"Pi5",5
"993",344,"Pi14",1
"994",344,"Pi15",1.5
"995",344,"Pi16",4
"996",344,"Pi17",5
"997",344,"Pi18",7
"998",344,"Pi3",7
"999",344,"Pi4",4
"1000",344,"Pi5",5
"1001",345,"Pi14",1
"1002",345,"Pi15",1.5
"1003",345,"Pi16",4
"1004",345,"Pi17",5
"1005",345,"Pi18",7
"1006",345,"Pi3",7
"1007",345,"Pi4",4
"1008",345,"Pi5",5
"1009",346,"Pi14",1
"1010",346,"Pi15",1.5
"1011",346,"Pi16",4
"1012",346,"Pi17",5
"1013",346,"Pi18",7
"1014",346,"Pi3",7
"1015",346,"Pi4",4
"1016",346,"Pi5",5
"1017",347,"Pi14",1
"1018",347,"Pi15",1.5
"1019",347,"Pi16",4
"1020",347,"Pi17",5
"1021",347,"Pi18",7
"1022",347,"Pi3",7
"1023",347,"Pi4",4
"1024",347,"Pi5",5
"1025",348,"Pi14",1
"1026",348,"Pi15",1.5
"1027",348,"Pi16",4
"1028",348,"Pi17",5
"1029",348,"Pi18",7
"1030",348,"Pi3",7
"1031",348,"Pi4",4
"1032",348,"Pi5",5
"1033",349,"Pi14",1
"1034",349,"Pi15",1.5
"1035",349,"Pi16",4
"1036",349,"Pi17",5
"1037",349,"Pi18",7
"1038",349,"Pi3",7
"1039",349,"Pi4",4
"1040",349,"Pi5",5
"1041",350,"Pi14",1
"1042",350,"Pi15",1.5
"1043",350,"Pi16",4
"1044",350,"Pi17",5
"1045",350,"Pi18",7
"1046",350,"Pi3",7
"1047",350,"Pi4",4
"1048",350,"Pi5",5
"1049",351,"Pi14",1
"1050",351,"Pi15",1.5
"1051",351,"Pi16",4
"1052",351,"Pi17",5
"1053",351,"Pi18",7
"1054",351,"Pi3",7
"1055",351,"Pi4",4
"1056",351,"Pi5",5
"1057",352,"Pi14",1
"1058",352,"Pi15",1.5
"1059",352,"Pi16",4
"1060",352,"Pi17",5
"1061",352,"Pi18",7
"1062",352,"Pi3",7
